Name,Appearances,Goals,Assists
Ryan Giggs,620,109,157
Paul Scholes,499,107,54
Gary Neville,398,5,34
Roy Keane,326,33,21
Rio Ferdinand,298,7,5
Denis Irwin,296,18,20
Wayne Rooney,278,141,80
Peter Schmeichel,252,0,2
David Beckham,264,62,67
Patrice Evra,240,6,28
Mikaël Silvestre,249,6,16
Phil Neville,263,5,10
Nicky Butt,270,21,15
Wes Brown,232,3,6
Gary Pallister,207,7,5
John O'Shea,257,10,17
Edwin van der Sar,186,0,2
Michael Carrick,216,14,23
Nemanja Vidic‎,186,15,4
Cristiano Ronaldo,196,84,48
Andy Cole,195,93,31
Darren Fletcher,200,18,20
Ole Gunnar Solskjaer,235,92,36
Steve Bruce,147,12,5
