cup,season
World's Best Club Coach,2007
World's Best Club Coach,1998
English Champion,12/13
English Champion,10/11
English Champion,08/09
English Champion,07/08
English Champion,06/07
English Champion,02/03
English Champion,00/01
English Champion,99/00
English Champion,98/99
English Champion,96/97
English Champion,95/96
English Champion,93/94
English Champion,92/93
Champions League ,07/08
Champions League ,98/99
English FA Cup ,03/04
English FA Cup ,98/99
English FA Cup ,95/96
English FA Cup ,93/94
English FA Cup ,89/90
English League Cup ,09/10
English League Cup ,08/09
English League Cup ,05/06
English League Cup ,91/92
Scottish champion,84/85
Scottish champion,83/84
Scottish champion,79/80
Scottish cup ,85/86
Scottish cup ,83/84
Scottish cup ,82/83
Scottish cup ,81/82
Scottish league cup ,85/86
FIFA Club World Cup ,08/09
Intercontinental Cup ,99/00
Europapokal der Pokalsieger Sieger,90/91
Europapokal der Pokalsieger Sieger,82/83
Uefa Supercup ,91/92
Uefa Supercup ,83/84
English Super Cup ,11/12
English Super Cup ,10/11
English Super Cup ,08/09
English Super Cup ,07/08
English Super Cup ,03/04
English Super Cup ,97/98
English Super Cup ,96/97
English Super Cup ,94/95
English Super Cup ,93/94
English Super Cup ,90/91
