,Unnamed: 0,city,match,opponent,result,season,stadium,winner,final_result,win,lose
0,0,Hyderabad,Final,Mumbai Indians,Mumbai Indians won by 1 run,2019,Rajiv Gandhi Intl. Cricket Stadium,Mumbai Indians,lost,0,1
1,1,Visakhapatnam,Qualifier 2,Delhi Capitals,Chennai Super Kings won by 6 wickets,2019,ACA-VDCA Stadium,Chennai Super Kings,won,1,0
2,2,Chennai,Qualifier 1,Mumbai Indians,Mumbai Indians won by 6 wickets,2019,M. A. Chidambaram Stadium,Mumbai Indians,lost,0,1
3,3,Mohali,Match 55,Kings XI Punjab,Kings XI Punjab won by 6 wickets,2019,IS Bindra Stadium,Kings XI Punjab,lost,0,1
4,4,Chennai,Match 50,Delhi Capitals,Chennai Super Kings won by 80 runs,2019,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
5,5,Chennai,Match 44,Mumbai Indians,Mumbai Indians won by 46 runs,2019,M. A. Chidambaram Stadium,Mumbai Indians,lost,0,1
6,6,Navi Mumbai,Final,Mumbai Indians,Chennai Super Kings won by 22 runs,2010,DY Patil Stadium,Chennai Super Kings,won,1,0
7,7,Kolkata,Final,Mumbai Indians,Mumbai Indians won by 23 runs,2013,Eden Gardens,Mumbai Indians,lost,0,1
8,8,Mumbai,Final,Sunrisers Hyderabad,Chennai Super Kings won by 8 wickets,2018,Wankhede Stadium,Chennai Super Kings,won,1,0
9,9,Kolkata,Final,Mumbai Indians,Mumbai Indians won by 41 runs,2015,Eden Gardens,Mumbai Indians,lost,0,1
10,10,Chennai,Final,Kolkata Knight Riders,Kolkata Knight Riders won by 5 wickets,2012,M. A. Chidambaram Stadium,Kolkata Knight Riders,lost,0,1
11,11,Mumbai,Qualifier 2,Kings XI Punjab,Kings XI Punjab won by 24 runs,2014,Wankhede Stadium,Kings XI Punjab,lost,0,1
12,12,Chennai,Match 41,Sunrisers Hyderabad,Chennai Super Kings won by 6 wickets,2019,M. A. Chidambaram Stadium,Chennai Super Kings,won,1,0
13,13,Bengaluru,Match 39,Royal Challengers Bangalore,Royal Challengers Bangalore won by 1 run,2019,M. Chinnaswamy Stadium,Royal Challengers Bangalore,lost,0,1
