,batting_average,batting_strike_rate,bowling_average,catches,economy,fifties,fours,fourw_haul,highest,hundreds,innings,matches,notout,player_id,player_name,player_nationality,runouts,runs,season,sixes,stumping,wickets
0,83.20,134.62,0,11,0,3,22,0,84*,0,12,15,7,1,MS Dhoni,Indian,1,416,2019,23,5,0
1,0,0,16.57,6,6.69,0,0,2,0*,0,1,17,1,898,Imran Tahir,South African,0,0,2019,0,0,26
2,0,0,0,0,0,0,0,0,0,0,0,0,0,5443,Ruturaj Gaikwad,Indian,0,0,2019,0,0,0
3,0,0,35.50,0,8.87,0,0,0,0*,0,0,2,0,1859,Scott Kuggeleijn,New Zealander,0,0,2019,0,0,2
4,0.00,0.00,0,1,0,0,0,0,0*,0,1,1,0,2756,Sam Billings,English,0,0,2019,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,2758,David Willey,English,0,0,2019,0,0,0
6,32.00,104.91,0,1,0,0,6,0,38,0,2,2,0,7,Murali Vijay,Indian,0,64,2019,1,0,0
7,35.33,120.45,22.86,9,6.35,0,7,0,31*,0,9,16,6,9,Ravindra Jadeja,Indian,0,106,2019,4,0,15
8,3.50,77.77,21.90,2,7.47,0,1,0,7,0,2,17,0,140,Deepak Chahar,Indian,0,7,2019,0,0,22
9,0,0,0,0,0,0,0,0,0,0,0,0,0,4942,Narayan Jagadeesan,Indian,0,0,2019,0,0,0
10,23.93,121.97,0,7,6.00,3,45,0,59,0,17,17,1,14,Suresh Raina,Indian,1,383,2019,9,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,4944,KM Asif,Indian,0,0,2019,0,0,0
12,7.00,200.00,35.12,5,9.36,0,1,0,12*,0,3,10,1,1745,Shardul Thakur,Indian,0,14,2019,1,0,8
13,5.00,62.50,0,0,0,0,0,0,5,0,1,1,0,4946,Dhruv Shorey,Indian,0,5,2019,0,0,0
14,0,0.00,27.00,0,9.00,0,0,0,0*,0,1,1,1,1107,Mohit Sharma,Indian,0,0,2019,0,0,1
15,36.00,123.36,0,12,0,3,36,0,96,0,12,12,1,24,Faf du Plessis,South African,1,396,2019,15,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,Monu Kumar,Indian,0,0,2019,0,0,0
17,16.00,121.21,30.00,5,8.01,0,6,0,27,0,9,12,4,25,Dwayne Bravo,West Indian,0,80,2019,3,0,11
18,0,0,0,0,0,0,0,0,0,0,0,0,0,4954,Chaitanya Bishnoi,Indian,0,0,2019,0,0,0
19,0,0,33.00,0,11.64,0,0,0,0*,0,0,1,0,1118,Karn Sharma,Indian,0,0,2019,0,0,1
20,75.83,150.66,0,11,0,3,24,0,79*,0,15,16,9,1,MS Dhoni,Indian,2,455,2018,30,3,0
21,0,100.00,31.33,2,9.09,0,0,0,2*,0,1,6,1,898,Imran Tahir,South African,0,2,2018,0,0,6
22,13.50,138.46,0,5,0,1,8,0,56,0,8,10,0,2756,Sam Billings,English,0,108,2018,5,0,0
23,0,0,47.50,2,9.50,0,0,0,0*,0,0,3,0,2758,David Willey,English,1,0,2018,0,0,2
24,12.00,120.00,0,0,0,0,0,0,12,0,1,1,0,7,Murali Vijay,Indian,0,12,2018,1,0,0
25,23.41,127.56,0,6,0,3,42,0,96,0,17,17,0,227,Shane Watson,Australian,1,398,2019,20,0,0
26,23.50,93.06,0,6,0,1,20,0,57,0,17,17,5,100,Ambati Rayudu,Indian,1,282,2019,7,0,0
27,1.00,33.33,19.50,4,7.09,0,0,0,1,0,1,11,0,103,Harbhajan Singh,Indian,0,1,2019,0,0,16
28,18.00,95.85,0,4,0,1,19,0,58,0,12,14,3,297,Kedar Jadhav,Indian,0,162,2019,3,0,0
29,43.55,158.70,0,5,0,2,25,0,70*,0,13,16,4,1,MS Dhoni,Indian,4,392,2011,23,5,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Abhinav Mukund,Indian,0,0,2011,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Ganapathi Vignesh,Indian,0,0,2011,0,0,0
32,0.00,0.00,0,0,11.33,0,0,0,0*,0,1,1,0,5,Joginder Sharma,Indian,0,0,2011,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Kuthethur Vasudevadas,Indian,0,0,2011,0,0,0
34,17.80,120.27,27.54,11,7.39,0,3,0,27*,0,10,16,5,9,Ravindra Jadeja,Indian,1,89,2018,4,0,11
35,16.66,172.41,27.80,1,7.28,0,1,0,39,0,4,12,1,140,Deepak Chahar,Indian,0,50,2018,4,0,10
36,0,0,0,0,0,0,0,0,0,0,0,0,0,4942,Narayan Jagadeesan,Indian,0,0,2018,0,0,0
